gene,protein_full_name,status,category,score,nuclear_score,is_new,mtime,size_score,novelty_score,structure_score,domain_score,ppi_score,corroboration_score,recommendation,pubmed_count,localization,rejection_reason,source_table_status,source_table_category,report_path,docs_report_path,category_page,lines,has_hpa,has_if_image,has_pae,has_pdb,has_ppi,has_pubmed,has_scoring_table,has_manual_review,duplicate_count,duplicate_type,is_primary_candidate,known_backlog_flags,parse_quality,parse_notes
USP17L18,Ubiquitin carboxyl-terminal hydrolase 17-like protein 18,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L18/USP17L18-evaluation.md,reports/USP17L18.html,category/nucleoplasm.html,82,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L19,Ubiquitin carboxyl-terminal hydrolase 17-like protein 19,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L19/USP17L19-evaluation.md,reports/USP17L19.html,category/nucleoplasm.html,81,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L20,Ubiquitin carboxyl-terminal hydrolase 17-like protein 20,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,1,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L20/USP17L20-evaluation.md,reports/USP17L20.html,category/nucleoplasm.html,88,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L21,Ubiquitin carboxyl-terminal hydrolase 17-like protein 21,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L21/USP17L21-evaluation.md,reports/USP17L21.html,category/nucleoplasm.html,81,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L22,Ubiquitin carboxyl-terminal hydrolase 17-like protein 22,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L22/USP17L22-evaluation.md,reports/USP17L22.html,category/nucleoplasm.html,81,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L3,Ubiquitin carboxyl-terminal hydrolase 17-like protein 3,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L3/USP17L3-evaluation.md,reports/USP17L3.html,category/nucleoplasm.html,81,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L4,Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 4,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L4/USP17L4-evaluation.md,reports/USP17L4.html,category/nucleoplasm.html,107,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L5,Ubiquitin carboxyl-terminal hydrolase 17-like protein 5,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L5/USP17L5-evaluation.md,reports/USP17L5.html,category/nucleoplasm.html,80,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L7,Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 7,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,2,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L7/USP17L7-evaluation.md,reports/USP17L7.html,category/nucleoplasm.html,82,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
USP17L8,Inactive ubiquitin carboxyl-terminal hydrolase 17-like protein 8,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/USP17L8/USP17L8-evaluation.md,reports/USP17L8.html,category/nucleoplasm.html,131,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
W0FFG4,Beclin-1,scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/W0FFG4/W0FFG4-evaluation.md,reports/W0FFG4.html,category/nucleoplasm.html,93,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
WBSCR22,,scored,nucleoplasm,64.5,5,False,,5,9,7,4,6,0,⭐⭐,18,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/WBSCR22/WBSCR22-evaluation.md,reports/WBSCR22.html,category/nucleoplasm.html,86,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
WDFY1,WD repeat and FYVE domain-containing protein 1,scored,nucleoplasm,64.5,5,False,,9,8,7,4,6,0,⭐⭐,37,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/WDFY1/WDFY1-evaluation.md,reports/WDFY1.html,category/nucleoplasm.html,119,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
WRNIP1,ATPase WRNIP1,scored,nucleoplasm,64.5,7,False,,7,6,6,7,7,+0.0,⭐⭐,54,Nucleoplasm (Approved 可靠性),,scored,nucleoplasm,detail/nucleoplasm/WRNIP1/WRNIP1-evaluation.md,reports/WRNIP1.html,category/nucleoplasm.html,163,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
hCG_1987937,"HCG1987937, isoform CRA_a",scored,nucleoplasm,64.5,5,False,,9,10,5,4,5,0,⭐⭐,0,nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/hCG_1987937/hCG_1987937-evaluation.md,reports/hCG_1987937.html,category/nucleoplasm.html,89,True,True,False,True,True,True,True,False,1,NONE,True,,GOOD,ok
CCDC8,Coiled-coil domain-containing protein 8,scored,nucleus-cytoplasm,64.5,4,False,,10,8,6,7,6,+2.0,⭐⭐,46,nucleus-cytoplasm,,scored,nucleus-cytoplasm,detail/nucleus-cytoplasm/CCDC8/CCDC8-evaluation.md,reports/CCDC8.html,category/nucleus-cytoplasm.html,258,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
SFR1,Swi5-dependent recombination DNA repair protein 1 homolog,scored,nucleus-cytoplasm,64.5,8,False,,10,8,4,3,6,+0.5,⭐⭐,40,Supported reliability; Nucleoli rim (main) + Nucleoplasm + Centrosome (additional),,scored,nucleus-cytoplasm,detail/nucleus-cytoplasm/SFR1/SFR1-evaluation.md,reports/SFR1.html,category/nucleus-cytoplasm.html,262,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
EPC2,Enhancer of polycomb homolog 2 (EPC-like),scored,nuclear-body,64.4,9,False,,8,6,6,7,3,+1.0,⭐⭐,45,Nuclear speckles,,scored,nuclear-body,detail/nuclear-body/EPC2/EPC2-evaluation.md,reports/EPC2.html,category/nuclear-body.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MAD1L1,Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181),scored,nuclear-envelope,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,79,"Nucleoplasm, Nuclear membrane",,scored,nuclear-envelope,detail/nuclear-envelope/MAD1L1/MAD1L1-evaluation.md,reports/MAD1L1.html,category/nuclear-envelope.html,242,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RTCB,"RNA-splicing ligase RTCB (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase) (RNA 2',3'-cyclic phosphate and 5'-OH ligase)",scored,nuclear-envelope,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,61,"Nucleoplasm; 额外: Vesicles, Cytosol",,scored,nuclear-envelope,detail/nuclear-envelope/RTCB/RTCB-evaluation.md,reports/RTCB.html,category/nuclear-envelope.html,246,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CYSRT1,Cysteine-rich tail protein 1,scored,nuclear-speckle,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,2,"Nuclear speckles; 额外: Vesicles, Midbody",,scored,nuclear-speckle,detail/nuclear-speckle/CYSRT1/CYSRT1-evaluation.md,reports/CYSRT1.html,category/nuclear-speckle.html,237,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
EFHB,EF-hand domain-containing family member B (Cilia- and flagella-associated protein 21),scored,nuclear-speckle,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,4,"Cytosol; 额外: Nuclear bodies, Vesicles, Connecting piece",,scored,nuclear-speckle,detail/nuclear-speckle/EFHB/EFHB-evaluation.md,reports/EFHB.html,category/nuclear-speckle.html,219,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ESPNL,Espin-like protein,scored,nuclear-speckle,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,5,"Cytosol; 额外: Nucleoplasm, Nuclear bodies, Vesicles",,scored,nuclear-speckle,detail/nuclear-speckle/ESPNL/ESPNL-evaluation.md,reports/ESPNL.html,category/nuclear-speckle.html,227,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM163B,Protein FAM163B,scored,nuclear-speckle,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,3,"Nuclear bodies, Plasma membrane, Cytosol",,scored,nuclear-speckle,detail/nuclear-speckle/FAM163B/FAM163B-evaluation.md,reports/FAM163B.html,category/nuclear-speckle.html,228,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM174C,Protein FAM174C,scored,nuclear-speckle,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,0,Nuclear speckles; 额外: Golgi apparatus,,scored,nuclear-speckle,detail/nuclear-speckle/FAM174C/FAM174C-evaluation.md,reports/FAM174C.html,category/nuclear-speckle.html,205,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
GNB5,Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5),scored,nuclear-speckle,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,69,"Nuclear speckles; 额外: Centrosome, Rods & Rings",,scored,nuclear-speckle,detail/nuclear-speckle/GNB5/GNB5-evaluation.md,reports/GNB5.html,category/nuclear-speckle.html,246,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
TSACC,TSSK6-activating co-chaperone protein (SSTK-interacting protein) (SIP) (SSTK-IP),scored,nuclear-speckle,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,2,Nuclear bodies; 额外: Nucleoplasm,,scored,nuclear-speckle,detail/nuclear-speckle/TSACC/TSACC-evaluation.md,reports/TSACC.html,category/nuclear-speckle.html,230,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CSNK2B,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),scored,nucleolus,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,76,"Nucleoplasm; 额外: Nucleoli fibrillar center, Perinuclear theca, Calyx, Mid piece",,scored,nucleolus,detail/nucleolus/CSNK2B/CSNK2B-evaluation.md,reports/CSNK2B.html,category/nucleolus.html,246,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ERICH1,Glutamate-rich protein 1,scored,nucleolus,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,5,"Nucleoli fibrillar center; 额外: Nucleoplasm, Cytosol",,scored,nucleolus,detail/nucleolus/ERICH1/ERICH1-evaluation.md,reports/ERICH1.html,category/nucleolus.html,233,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.36) (Inositol polyphosphate 5-phosphatase J) (Phosphatidylinositol 1,3,4,5-tetrakisphosphate 5-phosphatase) (EC 3.1.3.56) (Phosphatidylinositol 1,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.56)",scored,nucleolus,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,15,Cytosol; 额外: Nucleoli fibrillar center,,scored,nucleolus,detail/nucleolus/INPP5J/INPP5J-evaluation.md,reports/INPP5J.html,category/nucleolus.html,245,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MBIP,MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein) (MUK-binding inhibitory protein),scored,nucleolus,64.4,7,False,,10,8,6,5,3,+1.0,⭐⭐,27,"Cytosol; 额外: Nucleoplasm, Nucleoli",,scored,nucleolus,detail/nucleolus/MBIP/MBIP-evaluation.md,reports/MBIP.html,category/nucleolus.html,243,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
C1orf162,Transmembrane protein C1orf162,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,6,"Nucleoplasm, Golgi apparatus",,scored,nucleoplasm,detail/nucleoplasm/C1orf162/C1orf162-evaluation.md,reports/C1orf162.html,category/nucleoplasm.html,218,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
C20orf173,Uncharacterized protein C20orf173,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,2,"Nucleoplasm; 额外: Vesicles, Plasma membrane",,scored,nucleoplasm,detail/nucleoplasm/C20orf173/C20orf173-evaluation.md,reports/C20orf173.html,category/nucleoplasm.html,213,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CCSER2,Serine-rich coiled-coil domain-containing protein 2 (Coiled-coil serine-rich protein 2) (Protein GCAP14 homolog),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,13,"Nucleoplasm, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/CCSER2/CCSER2-evaluation.md,reports/CCSER2.html,category/nucleoplasm.html,239,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CIMAP3,Ciliary microtubule-associated protein 3 (Protein pitchfork),scored,nucleoplasm,64.4,4,False,,8,10,7,7,2,+1.0,⭐⭐,0,暂无HPA定位数据,,scored,nucleoplasm,detail/nucleoplasm/CIMAP3/CIMAP3-evaluation.md,reports/CIMAP3.html,category/nucleoplasm.html,186,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
CTNNBIP1,Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf-4),scored,nucleoplasm,64.4,7,False,,5,6,9,7,3,+3.0,⭐⭐,45,"Nucleoplasm, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/CTNNBIP1/CTNNBIP1-evaluation.md,reports/CTNNBIP1.html,category/nucleoplasm.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
CYYR1,Cysteine and tyrosine-rich protein 1 (Proline-rich domain-containing protein),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,15,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/CYYR1/CYYR1-evaluation.md,reports/CYYR1.html,category/nucleoplasm.html,227,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
DCAF5,DDB1- and CUL4-associated factor 5 (Breakpoint cluster region protein 2) (BCRP2) (WD repeat-containing protein 22),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,8,Mitochondria,,scored,nucleoplasm,detail/nucleoplasm/DCAF5/DCAF5-evaluation.md,reports/DCAF5.html,category/nucleoplasm.html,231,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
DLGAP4,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,20,"Nucleoplasm; 额外: Vesicles, Focal adhesion sites",,scored,nucleoplasm,detail/nucleoplasm/DLGAP4/DLGAP4-evaluation.md,reports/DLGAP4.html,category/nucleoplasm.html,242,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
ELFN2,Protein phosphatase 1 regulatory subunit 29 (Extracellular leucine-rich repeat and fibronectin type III domain-containing protein 2) (Leucine-rich repeat and fibronectin type-III domain-containing protein 6) (Leucine-rich repeat-containing protein 62),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,8,"Nucleoplasm, Vesicles",,scored,nucleoplasm,detail/nucleoplasm/ELFN2/ELFN2-evaluation.md,reports/ELFN2.html,category/nucleoplasm.html,232,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
EPHX3,Epoxide hydrolase 3 (EH3) (EC 3.3.2.10) (Abhydrolase domain-containing protein 9),scored,nucleoplasm,64.4,4,False,,10,8,8,8,3,+1.0,⭐⭐,23,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/EPHX3/EPHX3-evaluation.md,reports/EPHX3.html,category/nucleoplasm.html,213,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
EVA1B,Protein eva-1 homolog B (Protein FAM176B),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,5,"Plasma membrane; 额外: Nucleoplasm, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/EVA1B/EVA1B-evaluation.md,reports/EVA1B.html,category/nucleoplasm.html,241,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM13B,Protein FAM13B (GAP-like protein N61),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,6,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/FAM13B/FAM13B-evaluation.md,reports/FAM13B.html,category/nucleoplasm.html,235,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM171A1,Protein FAM171A1 (Astroprincin) (APCN),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,8,Plasma membrane; 额外: Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/FAM171A1/FAM171A1-evaluation.md,reports/FAM171A1.html,category/nucleoplasm.html,236,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM171B,Protein FAM171B,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,7,"Nucleoplasm, Mitochondria; 额外: Nucleoli, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/FAM171B/FAM171B-evaluation.md,reports/FAM171B.html,category/nucleoplasm.html,223,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
FAM186B,Protein FAM186B,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,2,"Nucleoplasm, Cytosol; 额外: Centrosome, Basal body",,scored,nucleoplasm,detail/nucleoplasm/FAM186B/FAM186B-evaluation.md,reports/FAM186B.html,category/nucleoplasm.html,220,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FAM208B,Protein TASOR 2,scored,nucleoplasm,64.4,7,False,,2,10,4,7,3,+1.0,⭐⭐,0,Nucleoplasm; 额外: Cytosol,,scored,nucleoplasm,detail/nucleoplasm/FAM208B/FAM208B-evaluation.md,reports/FAM208B.html,category/nucleoplasm.html,243,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
FAM241B,Protein FAM241B,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,5,"Nucleoplasm, Centrosome; 额外: Cytosol",,scored,nucleoplasm,detail/nucleoplasm/FAM241B/FAM241B-evaluation.md,reports/FAM241B.html,category/nucleoplasm.html,225,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FBXW10,F-box/WD repeat-containing protein 10 (F-box and WD-40 domain-containing protein 10) (Ubiquitin ligase-specificity factor),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,11,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/FBXW10/FBXW10-evaluation.md,reports/FBXW10.html,category/nucleoplasm.html,226,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
FRMD4B,FERM domain-containing protein 4B (GRP1-binding protein GRSP1),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,15,"Centriolar satellite; 额外: Nucleoplasm, Golgi apparatus",,scored,nucleoplasm,detail/nucleoplasm/FRMD4B/FRMD4B-evaluation.md,reports/FRMD4B.html,category/nucleoplasm.html,235,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5 (EC 2.4.1.41) (Polypeptide GalNAc transferase 5) (GalNAc-T5) (pp-GaNTase 5) (Protein-UDP acetylgalactosaminyltransferase 5) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 5),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,17,"Golgi apparatus, Cytosol; 额外: Nucleoli, Vesicles",,scored,nucleoplasm,detail/nucleoplasm/GALNT5/GALNT5-evaluation.md,reports/GALNT5.html,category/nucleoplasm.html,240,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
IQSEC1,IQ motif and SEC7 domain-containing protein 1 (ADP-ribosylation factors guanine nucleotide-exchange protein 100) (ADP-ribosylation factors guanine nucleotide-exchange protein 2) (Brefeldin-resistant Arf-GEF 2 protein) (BRAG2),scored,nucleoplasm,64.4,7,False,,8,8,6,7,2,+2.0,⭐⭐,31,"Cytosol; 额外: Nucleoplasm, Vesicles, Centrosome",,scored,nucleoplasm,detail/nucleoplasm/IQSEC1/IQSEC1-evaluation.md,reports/IQSEC1.html,category/nucleoplasm.html,235,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
KIAA1755,Uncharacterized protein KIAA1755,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,7,"Nucleoli; 额外: Golgi apparatus, Vesicles",,scored,nucleoplasm,detail/nucleoplasm/KIAA1755/KIAA1755-evaluation.md,reports/KIAA1755.html,category/nucleoplasm.html,210,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B (Mitotic arrest deficient 2-like protein 2) (MAD2-like protein 2) (REV7 homolog) (hREV7),scored,nucleoplasm,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,79,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/MAD2L2/MAD2L2-evaluation.md,reports/MAD2L2.html,category/nucleoplasm.html,246,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MAMDC4,Apical endosomal glycoprotein (MAM domain-containing protein 4),scored,nucleoplasm,64.4,4,False,,5,10,7,7,3,+1.0,⭐⭐,10,Nucleoplasm; 额外: Cytosol,,scored,nucleoplasm,detail/nucleoplasm/MAMDC4/MAMDC4-evaluation.md,reports/MAMDC4.html,category/nucleoplasm.html,221,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
MAP7D3,MAP7 domain-containing protein 3,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,9,"Plasma membrane, Centrosome; 额外: Nucleoplasm, Primary cilium, Basal body",,scored,nucleoplasm,detail/nucleoplasm/MAP7D3/MAP7D3-evaluation.md,reports/MAP7D3.html,category/nucleoplasm.html,241,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MEA1,Male-enhanced antigen 1 (MEA-1),scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,17,"Nucleoplasm, Cytosol",,scored,nucleoplasm,detail/nucleoplasm/MEA1/MEA1-evaluation.md,reports/MEA1.html,category/nucleoplasm.html,237,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
MPHOSPH9,M-phase phosphoprotein 9,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,10,"Plasma membrane, Cytosol; 额外: Nucleoplasm, Golgi apparatus, Centrosome, Basal body",,scored,nucleoplasm,detail/nucleoplasm/MPHOSPH9/MPHOSPH9-evaluation.md,reports/MPHOSPH9.html,category/nucleoplasm.html,241,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NDUFA9,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)",scored,nucleoplasm,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,73,Mitochondria; 额外: Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/NDUFA9/NDUFA9-evaluation.md,reports/NDUFA9.html,category/nucleoplasm.html,244,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
NGDN,Neuroguidin,scored,nucleoplasm,64.4,8.67,False,,9,10,5.67,1.2,1.6,0,⭐⭐,6," Nucleoli, Mitochondria",,scored,nucleoplasm,detail/nucleoplasm/NGDN/NGDN-evaluation.md,reports/NGDN__nucleoplasm.html,category/nucleoplasm.html,255,True,True,True,True,True,True,True,True,2,MULTI_SCORED_CONFLICT,False,manual_review;duplicate:MULTI_SCORED_CONFLICT,GOOD,ok
PABIR3,PABIR family member 1,scored,nucleoplasm,64.4,5,False,,8,10,6,7,2,+0,⭐⭐,1,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/PABIR3/PABIR3-evaluation.md,reports/PABIR3.html,category/nucleoplasm.html,208,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
PCP4L1,Purkinje cell protein 4-like protein 1 (PCP4-like protein 1),scored,nucleoplasm,64.4,4,False,,5,10,7,7,3,+1.0,⭐⭐,10,"Nucleoplasm, Mitochondria",,scored,nucleoplasm,detail/nucleoplasm/PCP4L1/PCP4L1-evaluation.md,reports/PCP4L1.html,category/nucleoplasm.html,215,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
PRRT3,Proline-rich transmembrane protein 3,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,17,Plasma membrane; 额外: Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/PRRT3/PRRT3-evaluation.md,reports/PRRT3.html,category/nucleoplasm.html,217,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
PRRT4,Proline-rich transmembrane protein 4,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,4,"Nucleoplasm; 额外: Peroxisomes, Plasma membrane",,scored,nucleoplasm,detail/nucleoplasm/PRRT4/PRRT4-evaluation.md,reports/PRRT4.html,category/nucleoplasm.html,217,True,True,True,True,True,True,True,True,1,NONE,True,manual_review,GOOD,ok
RASAL3,RAS protein activator like-3,scored,nucleoplasm,64.4,4,False,,8,10,6,7,3,+1.0,⭐⭐,20,"Nucleoplasm, Plasma membrane",,scored,nucleoplasm,detail/nucleoplasm/RASAL3/RASAL3-evaluation.md,reports/RASAL3.html,category/nucleoplasm.html,240,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
RECQL,"ATP-dependent DNA helicase Q1 (EC 5.6.2.4) (DNA 3'-5' helicase Q1) (DNA helicase, RecQ-like type 1) (RecQ1) (DNA-dependent ATPase Q1) (RecQ protein-like 1)",scored,nucleoplasm,64.4,7,False,,10,4,10,8,3,+3.0,⭐⭐,80,Nucleoplasm,,scored,nucleoplasm,detail/nucleoplasm/RECQL/RECQL-evaluation.md,reports/RECQL.html,category/nucleoplasm.html,247,True,True,True,True,True,True,True,False,1,NONE,True,,GOOD,ok
