gene_symbol	species	full_name	aliases	uniprot_accession	uniprot_entry_name	uniprot_length	uniprot_reviewed	uniprot_pubmed_count	pubmed_count_strict	pubmed_count_loose	citations	hotness	hpa_nuclear	hpa_locations	hpa_reliability	compartments_nuclear_score	compartments_nuclear_evidence	uniprot_subcellular	uniprot_all_gene_names	uniprot_go_c	uniprot_go_ids	tier	num_sources	evidence_quality	source_uniprot	source_hpa	source_compartments	category	category_reason	final_category	ChIP_Atlas_class	ChIP_Atlas_antigen	ChIP_Atlas_hg38	ChIP_Atlas_mm10	ENCODE_ChIP_WT	ENCODE_ChIP_pert	ATAC_perturbed	FP80_Degree	FP80_Nuclear_Degree	FP80_ChIP_Neighbor_Degree	FP90_Degree	FP90_Nuclear_Degree	FP90_ChIP_Neighbor_Degree	BioGRID_Human_Degree	BioGRID_Human_Nuclear_Degree	BioGRID_Human_ChIP_Neighbor_Degree	BioGRID_Mouse_Degree	BioGRID_Mouse_Nuclear_Degree	BioGRID_Mouse_ChIP_Neighbor_Degree	STRING_Human_Degree	STRING_Human_Nuclear_Degree	STRING_Human_ChIP_Neighbor_Degree	STRING_Mouse_Degree	STRING_Mouse_Nuclear_Degree	STRING_Mouse_ChIP_Neighbor_Degree	Combined_BS_Human_Degree	Combined_BS_Human_Nuclear_Degree	Combined_BS_Human_ChIP_Neighbor_Degree	Combined_BS_Mouse_Degree	Combined_BS_Mouse_Nuclear_Degree	Combined_BS_Mouse_ChIP_Neighbor_Degree	Has_FP80_PPI	Has_FP90_PPI	Has_BioGRID_Human_PPI	Has_BioGRID_Mouse_PPI	Has_STRING_Human_PPI	Has_STRING_Mouse_PPI	Has_Combined_BS_Human_PPI	Has_Combined_BS_Mouse_PPI	Has_Any_Human_PPI	Has_Any_Mouse_PPI	Has_Any_PPI
H3c1;	mouse	Histone H3.1	H3.1-221; H3.1-291; H3.1-I; H3a; H3c1; H3c10; H3c11; H3c8; H3g; H3h; H3i; Hist1h3a;; Hist1h3g;; Hist1h3h;; Hist1h3i	P68433	H31_MOUSE	136	True	36	16	16	36	较多	False					SUBCELLULAR LOCATION: Nucleus. Chromosome.	H3c1 H3a Hist1h3a; H3c8 H3.1-221 H3g Hist1h3g; H3c10 H3.1-291 H3h Hist1h3h; H3c11 H3.1-I H3i Hist1h3i			2	1	0	True	False	False	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	31	11	0	0	0	55	31	11	False	False	False	False	False	True	False	True	False	True	True
H3c2;	mouse	Histone H3.2	H3-143; H3-53; H3-B; H3-F; H3.2; H3.2-221; H3.2-614; H3.2-615; H3.2-616; H3b; H3c13; H3c14; H3c15; H3c2; H3c3; H3c4; H3c6; H3c7; H3f; Hist1h3b;; Hist1h3c;; Hist1h3d;; Hist1h3e;; Hist1h3f;; Hist2h3b;; Hist2h3c1; Hist2h3c2; Hist2h3ca1;; Hist2h3ca2	P84228	H32_MOUSE	136	True	37	25	42	37	较多	False					SUBCELLULAR LOCATION: Nucleus. Chromosome.	H3c2 H3-53 H3.2 H3b Hist1h3b; H3c3 H3-143 Hist1h3c; H3c4 H3-B Hist1h3d; H3c6 H3-F Hist1h3e; H3c7 H3.2-221 H3f Hist1h3f; H3c13 H3.2-616 Hist2h3b; H3c14 H3.2-615 Hist2h3c1 Hist2h3ca1; H3c15 H3.2-614 Hist2h3c2 Hist2h3ca2			2	1	0	True	False	False	families	family_Histone	families	Histone	H3.2	WT:0/pert:0	WT:2/pert:1	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	31	10	0	0	0	56	31	10	False	False	False	False	False	True	False	True	False	True	True
H4c1;	mouse	Histone H4	;; H4-12; H4-53; H4c1; H4c11; H4c12; H4c14; H4c16; H4c2; H4c3; H4c4; H4c6; H4c8; H4c9; H4f16; Hist1h4a;; Hist1h4b;; Hist1h4c;; Hist1h4d;; Hist1h4f;; Hist1h4h;; Hist1h4i;; Hist1h4j;; Hist1h4k;; Hist1h4m;; Hist2h4; Hist2h4a;; Hist4h4	P62806	H4_MOUSE	103	True	28	5	15	28	较多	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:32726616}. Chromosome {ECO:0000250}. Note=Localized to the nucleus when acetylated in step 11 spermatids. {ECO:0000269|PubMed:32726616}.	H4c1 Hist1h4a; H4c2 H4-53 Hist1h4b; H4c3 H4-12 Hist1h4c; H4c4 Hist1h4d; H4c6 Hist1h4f; H4c8 Hist1h4h; H4c9 Hist1h4i; H4c11 Hist1h4j; H4c12 Hist1h4k; Hist1h4m; H4c14 Hist2h4 Hist2h4a; H4c16 H4f16 Hist4h4			2	1	0	True	False	False	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	15	15	5	8	8	1	0	0	0	0	0	0	0	0	0	59	32	10	0	0	0	59	32	10	True	True	False	False	False	True	False	True	True	True	True
Hapstr1	mouse	HUWE1-associated protein modifying stress responses		Q14AM7	HAPR1_MOUSE	275	True	2	11	11	11	中等	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q14CZ0}. Cytoplasm {ECO:0000250|UniProtKB:Q14CZ0}.	Hapstr1			2	1	0	True	False	False	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False
Hapstr2	mouse	HUWE1-associated protein modifying stress responses 2	Gm715	A0A804C8T0	HAPR2_MOUSE	276	True	1	2	2	2	较少	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:A0A7P0TBJ1}.	Hapstr2 Gm715			2	1	0	True	False	False	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False
Harbi1	mouse	Putative nuclease HARBI1		Q8BR93	HARB1_MOUSE	349	True	4	11	11	11	中等	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Cytoplasm {ECO:0000250}. Note=Interaction with NAIF1 promotes translocation to the nucleus. {ECO:0000250}.	Harbi1			2	1	0	True	False	False	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	False	False	False	False	False	True	False	True	False	True	True
Hax1	mouse	HCLS1-associated protein X-1	Hs1bp1	O35387	HAX1_MOUSE	280	True	8	375	377	375	热门	False					SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16814492, ECO:0000269|PubMed:26915802}. Endoplasmic reticulum {ECO:0000269|PubMed:10760273}. Nucleus membrane {ECO:0000305|PubMed:16814492}. Cytoplasmic vesicle {ECO:0000269|PubMed:10760273, ECO:0000269|PubMed:16814492}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:O00165}. Cell membrane {ECO:0000250|UniProtKB:O00165}; Peripheral membrane protein {ECO:0000250|UniProtKB:O00165}; Cytoplasmic side {ECO:0000250|UniProtKB:O00165}. Sarcoplasmic reticulum {ECO:0000250|UniProtKB:Q7TSE9}. Cytoplasm, P-body {ECO:0000250|UniProtKB:O00165}. Cytoplasm {ECO:0000250|UniProtKB:O00165}. Nucleus {ECO:0000250|UniProtKB:O00165}. Note=Predominantly cytoplasmic. Also detected in the nucleus when nuclear export is inhibited (in vitro). {ECO:0000250|UniProtKB:O00165}.	Hax1 Hs1bp1			2	1	0	True	False	False	suspicious_nonfamily	reclassified_from_suspicious (Tier 2)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	4	4	0	3	3	0	0	0	0	3	2	1	0	0	0	3	0	0	0	0	0	6	2	1	True	True	False	True	False	True	False	True	True	True	True
Hck	mouse	Tyrosine-protein kinase HCK		P08103	HCK_MOUSE	524	True	23	1321	1321	1321	热门	False					SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 1]: Membrane; Lipid-anchor. Membrane, caveola {ECO:0000250}. Lysosome {ECO:0000250}. Cell projection, podosome membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Note=Associated with specialized secretory lysosomes called azurophil granules. A fraction of this isoform is found in the cytoplasm, some of this fraction is myristoylated (By similarity). {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Lipid-anchor. Membrane, caveola {ECO:0000250}; Lipid-anchor {ECO:0000250}. Cell junction, focal adhesion {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Golgi apparatus {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Lysosome {ECO:0000250}. Nucleus {ECO:0000250}. Note=20% of this isoform is associated with caveolae. Localization at the cell membrane and at caveolae requires palmitoylation at Cys-3. Colocalizes with the actin cytoskeleton at focal adhesions (By similarity). {ECO:0000250}.	Hck			2	1	0	True	False	False	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	1	0	0	0	0	0	0	0	0	13	6	2	0	0	0	46	13	5	0	0	0	55	19	7	True	False	False	True	False	True	False	True	True	True	True
Hdlbp	mouse	Vigilin		Q8VDJ3	VIGLN_MOUSE	1268	True	6	63	63	63	热门	False					SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.	Hdlbp			2	1	0	True	False	False	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	4	4	1	1	1	0	0	0	0	25	16	9	0	0	0	9	1	1	0	0	0	33	16	9	True	True	False	True	False	True	False	True	True	True	True
Hdx	mouse	Highly divergent homeobox		Q14B70	HDX_MOUSE	692	True	2	1727	1727	1727	热门	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.	Hdx			2	1	0	True	False	False	families	family_HOX	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	2	2	2	False	False	False	True	False	False	False	True	False	True	True
Helz	mouse	ATP-dependent RNA helicase with zinc finger domain	Kiaa0054	Q6DFV5	HELZ_MOUSE	1964	True	8	65	65	65	热门	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:21765940}.	Helz Kiaa0054			2	1	0	True	False	False	zinc_finger_nonfamily	reclassified_to_RBP	rbp_rnp_nonfamily			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	6	5	4	0	0	0	1	1	1	0	0	0	7	6	5	False	False	False	True	False	True	False	True	False	True	True
Hemk2	mouse	Methyltransferase HEMK2	Kmt9;N6amt1;Pred28	A0A4W7N3B2;Q6SKR2	HEMK2_MOUSE	214	True	7	13	58	13	中等	False			5.000	evidence=IDA;score=5.0;sources=UniProtKB	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123}.;SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16684535, ECO:0000269|PubMed:19116772}.	Hemk2 Kmt9 N6amt1 Pred28			2	1	0	True	False	True	unclassified_core_nuclear	reclassified_to_RBP;merged_N6amt1	rbp_rnp_nonfamily	TFs and others	N6AMT1	WT:0/pert:2	WT:1/pert:0	0	0	False	7	6	2	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	True	False	False	False	False	False	False	True	True	True
Hes1	mouse	Transcription factor HES-1	Hes-1	P35428	HES1_MOUSE	282	True	4	3403	3490	3403	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hes1 Hes-1			2	2	0	True	False	True	families	family_bHLH	families	TFs and others	HES1,Hes1	WT:4/pert:0	WT:0/pert:4	2	0	False	4	4	3	4	4	3	0	0	0	8	8	6	0	0	0	24	22	9	0	0	0	31	29	14	True	True	False	True	False	True	False	True	True	True	True
Hes2	mouse	Transcription factor HES-2		O54792	HES2_MOUSE	157	True	4	85	85	85	热门	False			5.000	score=5.0; evidence=CURATED; sources=UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hes2			2	2	0	True	False	True	families	family_bHLH	families	TFs and others	HES2	WT:2/pert:30	WT:0/pert:0	1	11	False	12	12	6	12	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	True	False	False	False	False	False	False	True	True	True
Hes3	mouse	Transcription factor HES-3	Hes-3	Q61657	HES3_MOUSE	175	True	3	126	147	126	热门	False			5.000	score=5.0; evidence=CURATED; sources=UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hes3 Hes-3			2	2	0	True	False	True	families	family_bHLH	families			WT:0/pert:0	WT:0/pert:0	0	0	False	13	13	8	12	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	True	False	False	False	False	False	False	True	True	True
Hes5	mouse	Transcription factor HES-5	Hes-5	P70120	HES5_MOUSE	167	True	3	655	685	655	热门	False			5.000	score=5.0; evidence=CURATED; sources=Reactome;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hes5 Hes-5			2	2	0	True	False	True	families	family_bHLH	families	TFs and others	HES5	WT:1/pert:0	WT:0/pert:0	0	0	False	8	8	6	8	8	6	0	0	0	2	2	0	0	0	0	12	9	7	0	0	0	14	11	7	True	True	False	True	False	True	False	True	True	True	True
Hexd	mouse	Hexosaminidase D	Hexdc	Q3U4H6	HEXD_MOUSE	486	True	4	20	26	20	较多	False					SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19040401}. Nucleus {ECO:0000269|PubMed:19040401}. Extracellular vesicle {ECO:0000250|UniProtKB:Q8WVB3}.	Hexd Hexdc			2	1	0	True	False	False	suspicious_nonfamily	reclassified_from_suspicious (Tier 2)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False
Hip1	mouse	Huntingtin-interacting protein 1	Kiaa4113	Q8VD75	HIP1_MOUSE	1029	True	12	371	371	371	热门	False					SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Endomembrane system {ECO:0000250}. Cytoplasmic vesicle, clathrin-coated vesicle membrane {ECO:0000250}. Note=Shuttles between cytoplasm and nucleus. Nuclear translocation can be induced by AR (By similarity). {ECO:0000250}.	Hip1 Kiaa4113			2	1	0	True	False	False	suspicious_nonfamily	reclassified_from_suspicious (Tier 2)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	5	2	1	1	1	1	0	0	0	4	2	1	0	0	0	12	3	1	0	0	0	16	5	2	True	True	False	True	False	True	False	True	True	True	True
Hipk3	mouse	Homeodomain-interacting protein kinase 3	Fist3	Q9ERH7	HIPK3_MOUSE	1192	True	8	224	224	224	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Cytoplasm. Nucleus.	Hipk3 Fist3			2	2	0	True	False	True	suspicious_nonfamily	reclassified_from_suspicious (Tier 2)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	False	False	False	False	False	True	False	True	False	True	True
Hist1h2af	mouse	Histone H2A type 1-F		Q8CGP5	H2A1F_MOUSE	130	True	10	1	1	10	中等	False					SUBCELLULAR LOCATION: Nucleus. Chromosome.	Hist1h2af			2	1	0	True	False	False	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	4	3	2	0	0	0	0	0	0	0	0	0	4	3	2	False	False	False	True	False	False	False	True	False	True	True
Hist1h2an	mouse	Histone H2A type 1-N		C0HKE7	H2A1N_MOUSE	130	True	11	2	2	11	中等	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus. Chromosome.	Hist1h2an			2	2	0	True	False	True	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	53	28	5	0	0	0	55	28	5	False	False	False	True	False	True	False	True	False	True	True
Hist1h2ao	mouse	Histone H2A type 1-O		C0HKE8	H2A1O_MOUSE	130	True	14	1	1	14	中等	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus. Chromosome.	Hist1h2ao			2	2	0	True	False	True	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	53	28	5	0	0	0	55	28	5	False	False	False	True	False	True	False	True	False	True	True
Hist1h2ap	mouse	Histone H2A type 1-P		C0HKE9	H2A1P_MOUSE	130	True	10	0	0	10	中等	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus. Chromosome.	Hist1h2ap			2	2	0	True	False	True	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	53	28	5	0	0	0	55	28	5	False	False	False	True	False	True	False	True	False	True	True
Hist1h2bp	mouse	Histone H2B type 1-P		Q8CGP2	H2B1P_MOUSE	126	True	14	0	0	14	中等	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus. Chromosome.	Hist1h2bp			2	2	0	True	False	True	families	family_Histone	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	41	34	22	0	0	0	45	34	22	False	False	False	True	False	True	False	True	False	True	True
Hivep2	mouse	Transcription factor HIVEP2	Mibp1	Q3UHF7	ZEP2_MOUSE	2430	True	3	108	112	108	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hivep2 Mibp1			2	2	0	True	False	True	unclassified_core_nuclear	core_nuclear_unclassified	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	2	2	2	0	0	0	6	6	2	False	False	False	True	False	True	False	True	False	True	True
Hlx	mouse	H2.0-like homeobox protein	Hlx1	Q61670	HLX_MOUSE	476	True	2	177	192	177	热门	False					SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	Hlx Hlx1			2	1	0	True	False	False	families	family_HOX	families			WT:0/pert:0	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	False	False	False	False	False	True	False	True	False	True	True
Hook1	mouse	Protein Hook homolog 1		Q8BIL5	HOOK1_MOUSE	728	True	8	85	85	85	热门	False					SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12075009}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:12075009, ECO:0000269|PubMed:28003339}. Note=Localizes to punctate cytoplasmic foci which do not appear to overlap with early or late endosomes, the endoplasmic reticulum, multivesicular bodies (MVBs), lysosomes, or mitochondria (PubMed:12075009). Often found in close association with microtubules (PubMed:12075009). Does not associate with the Golgi complex (PubMed:12075009). During spermiogenesis, it localizes to the manchette in spermatids from steps 8-10 (PubMed:12075009). It is also present between the microtubule manchette and the nucleus (PubMed:12075009). During manchette elongation, it is preferentially localized to the nuclear ring of the manchette, whereas the strong localization to the manchette decreases (PubMed:12075009). In more mature spermatids, while the manchette migrates posteriorly, it localizes to punctuates spots (PubMed:12075009). At later stages of spermatid differentiation, the punctuate expression pattern is found at both the attachment site and the proximal end of the elongated manchette (PubMed:12075009). In contrast, it is not present in mature spermatozoa (PubMed:12075009). {ECO:0000269|PubMed:12075009}.	Hook1			2	1	0	True	False	False	suspicious_nonfamily	reclassified_from_suspicious (Tier 2)	unclassified_core_nuclear			WT:0/pert:0	WT:0/pert:0	0	0	False	6	3	0	5	3	0	0	0	0	5	1	0	0	0	0	13	0	0	0	0	0	17	1	0	True	True	False	True	False	True	False	True	True	True	True
Hoxa10	mouse	Homeobox protein Hox-A10	Hox-1.8; Hoxa-10	P31310	HXA10_MOUSE	416	True	5	1040	1047	1040	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxa10 Hox-1.8 Hoxa-10			2	2	0	True	False	True	families	family_HOX	families			WT:0/pert:0	WT:0/pert:0	1	0	False	0	0	0	0	0	0	0	0	0	21	19	15	0	0	0	5	5	4	0	0	0	24	22	18	False	False	False	True	False	True	False	True	False	True	True
Hoxa11	mouse	Homeobox protein Hox-A11	Hox-1.9; Hoxa-11	P31311	HXA11_MOUSE	313	True	4	540	545	540	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxa11 Hox-1.9 Hoxa-11			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXA11,Hoxa11	WT:1/pert:0	WT:7/pert:5	0	0	False	0	0	0	0	0	0	0	0	0	7	6	3	0	0	0	4	4	4	0	0	0	10	9	6	False	False	False	True	False	True	False	True	False	True	True
Hoxa3	mouse	Homeobox protein Hox-A3	Hox-1.5; Hoxa-3	P02831	HXA3_MOUSE	443	True	5	238	253	238	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxa3 Hox-1.5 Hoxa-3			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXA3	WT:2/pert:0	WT:0/pert:0	1	0	False	2	2	1	1	1	1	0	0	0	1	1	1	0	0	0	4	4	3	0	0	0	5	5	4	True	True	False	True	False	True	False	True	True	True	True
Hoxa4	mouse	Homeobox protein Hox-A4	Hox-1.4; Hoxa-4	P06798	HXA4_MOUSE	285	True	9	220	240	220	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxa4 Hox-1.4 Hoxa-4			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXA4	WT:1/pert:0	WT:0/pert:0	0	0	False	2	2	1	1	1	1	0	0	0	9	9	6	0	0	0	2	2	1	0	0	0	10	10	7	True	True	False	True	False	True	False	True	True	True	True
Hoxa6	mouse	Homeobox protein Hox-A6	Hox-1.2; Hoxa-6	P09092	HXA6_MOUSE	232	True	1	62	67	62	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxa6 Hox-1.2 Hoxa-6			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXA6	WT:1/pert:0	WT:0/pert:0	0	0	False	2	1	0	0	0	0	0	0	0	6	6	4	0	0	0	3	3	2	0	0	0	9	9	6	True	False	False	True	False	True	False	True	True	True	True
Hoxb1	mouse	Homeobox protein Hox-B1	Hox-2.9; Hoxb-1	P17919	HXB1_MOUSE	297	True	5	307	320	307	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb1 Hox-2.9 Hoxb-1			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXB1,Hoxb1	WT:1/pert:0	WT:0/pert:50	0	0	False	4	4	1	2	2	0	0	0	0	2	2	1	0	0	0	5	5	5	0	0	0	7	7	6	True	True	False	True	False	True	False	True	True	True	True
Hoxb13	mouse	Homeobox protein Hox-B13		P70321	HXB13_MOUSE	286	True	2	555	555	555	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb13			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXB13,Hoxb13	WT:22/pert:79	WT:3/pert:11	1	0	False	1	1	1	0	0	0	0	0	0	4	4	4	0	0	0	2	2	2	0	0	0	6	6	6	True	False	False	True	False	True	False	True	True	True	True
Hoxb3	mouse	Homeobox protein Hox-B3	Hox-2.7; Hoxb-3	P09026	HXB3_MOUSE	433	True	4	189	202	189	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb3 Hox-2.7 Hoxb-3			2	2	0	True	False	True	families	family_HOX	families			WT:0/pert:0	WT:0/pert:0	0	0	False	3	3	1	1	1	1	0	0	0	0	0	0	0	0	0	5	5	5	0	0	0	5	5	5	True	True	False	False	False	True	False	True	True	True	True
Hoxb4	mouse	Homeobox protein Hox-B4	Hox-2.6; Hoxb-4	P10284	HXB4_MOUSE	250	True	3	450	464	450	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb4 Hox-2.6 Hoxb-4			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXB4,Hoxb4	WT:2/pert:0	WT:1/pert:5	0	0	False	2	2	2	0	0	0	0	0	0	13	11	6	0	0	0	7	6	5	0	0	0	18	16	10	True	False	False	True	False	True	False	True	True	True	True
Hoxb6	mouse	Homeobox protein Hox-B6	Hox-2.2; Hoxb-6	P09023	HXB6_MOUSE	224	True	6	128	146	128	热门	False			5.000	score=5.0; evidence=CURATED; sources=UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb6 Hox-2.2 Hoxb-6			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXB6	WT:3/pert:0	WT:0/pert:0	1	0	False	3	2	2	3	2	2	0	0	0	1	1	1	0	0	0	13	13	10	0	0	0	13	13	10	True	True	False	True	False	True	False	True	True	True	True
Hoxb7	mouse	Homeobox protein Hox-B7	Hox-2.3; Hoxb-7	P09024	HXB7_MOUSE	217	True	8	354	371	354	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb7 Hox-2.3 Hoxb-7			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXB7	WT:5/pert:0	WT:4/pert:0	1	0	False	2	2	0	1	1	0	0	0	0	1	1	1	0	0	0	14	14	13	0	0	0	15	15	14	True	True	False	True	False	True	False	True	True	True	True
Hoxb8	mouse	Homeobox protein Hox-B8	Hox-2.4; Hoxb-8	P09632	HXB8_MOUSE	243	True	5	278	294	278	热门	False			5.000	score=5.0; evidence=CURATED; sources=GO_Central;UniProtKB	SUBCELLULAR LOCATION: Nucleus.	Hoxb8 Hox-2.4 Hoxb-8			2	2	0	True	False	True	families	family_HOX	families	TFs and others	HOXB8	WT:2/pert:1	WT:0/pert:0	0	0	False	0	0	0	0	0	0	0	0	0	14	13	9	0	0	0	7	7	5	0	0	0	20	19	13	False	False	False	True	False	True	False	True	False	True	True
